outcome_name,feature_name,coefficient,alpha,n_rows,trained_at
win_pct,intercept,0.52295132,1.0000,32,2026-05-07T17:10:48Z
win_pct,roster_churn_rate,-0.00002287,1.0000,32,2026-05-07T17:10:48Z
win_pct,inbound_move_count,0.01363239,1.0000,32,2026-05-07T17:10:48Z
win_pct,outbound_move_count,-0.01484775,1.0000,32,2026-05-07T17:10:48Z
win_pct,offense_skill_value_delta,-0.00163892,1.0000,32,2026-05-07T17:10:48Z
win_pct,offense_line_value_delta,0.00331653,1.0000,32,2026-05-07T17:10:48Z
win_pct,defense_front_value_delta,0.00251027,1.0000,32,2026-05-07T17:10:48Z
win_pct,defense_second_level_value_delta,0.00416537,1.0000,32,2026-05-07T17:10:48Z
win_pct,defense_secondary_value_delta,-0.00040063,1.0000,32,2026-05-07T17:10:48Z
win_pct,special_teams_value_delta,-0.00806320,1.0000,32,2026-05-07T17:10:48Z
win_pct,other_value_delta,-0.00704863,1.0000,32,2026-05-07T17:10:48Z
win_pct,avg_contract_value_per_move,0.00000002,1.0000,32,2026-05-07T17:10:48Z
win_pct,position_value_delta,-0.00715922,1.0000,32,2026-05-07T17:10:48Z
win_pct,schedule_strength_index,0.37232108,1.0000,32,2026-05-07T17:10:48Z
point_diff_per_game,intercept,4.96182535,1.0000,32,2026-05-07T17:10:48Z
point_diff_per_game,roster_churn_rate,-0.00270386,1.0000,32,2026-05-07T17:10:48Z
point_diff_per_game,inbound_move_count,-0.23689755,1.0000,32,2026-05-07T17:10:48Z
point_diff_per_game,outbound_move_count,0.09341497,1.0000,32,2026-05-07T17:10:48Z
point_diff_per_game,offense_skill_value_delta,-0.07680755,1.0000,32,2026-05-07T17:10:48Z
point_diff_per_game,offense_line_value_delta,0.15323682,1.0000,32,2026-05-07T17:10:48Z
point_diff_per_game,defense_front_value_delta,-0.54002556,1.0000,32,2026-05-07T17:10:48Z
point_diff_per_game,defense_second_level_value_delta,0.33813016,1.0000,32,2026-05-07T17:10:48Z
point_diff_per_game,defense_secondary_value_delta,-0.38972438,1.0000,32,2026-05-07T17:10:48Z
point_diff_per_game,special_teams_value_delta,0.33048881,1.0000,32,2026-05-07T17:10:48Z
point_diff_per_game,other_value_delta,0.16700299,1.0000,32,2026-05-07T17:10:48Z
point_diff_per_game,avg_contract_value_per_move,0.00000152,1.0000,32,2026-05-07T17:10:48Z
point_diff_per_game,position_value_delta,-0.01769871,1.0000,32,2026-05-07T17:10:48Z
point_diff_per_game,schedule_strength_index,6.59394744,1.0000,32,2026-05-07T17:10:48Z
offensive_epa_per_play,intercept,0.00297796,1.0000,32,2026-05-07T17:10:48Z
offensive_epa_per_play,roster_churn_rate,-0.00000332,1.0000,32,2026-05-07T17:10:48Z
offensive_epa_per_play,inbound_move_count,0.00126666,1.0000,32,2026-05-07T17:10:48Z
offensive_epa_per_play,outbound_move_count,-0.00144315,1.0000,32,2026-05-07T17:10:48Z
offensive_epa_per_play,offense_skill_value_delta,-0.00004771,1.0000,32,2026-05-07T17:10:48Z
offensive_epa_per_play,offense_line_value_delta,0.00013654,1.0000,32,2026-05-07T17:10:48Z
offensive_epa_per_play,defense_front_value_delta,0.00113002,1.0000,32,2026-05-07T17:10:48Z
offensive_epa_per_play,defense_second_level_value_delta,0.00062365,1.0000,32,2026-05-07T17:10:48Z
offensive_epa_per_play,defense_secondary_value_delta,0.00021455,1.0000,32,2026-05-07T17:10:48Z
offensive_epa_per_play,special_teams_value_delta,-0.00251582,1.0000,32,2026-05-07T17:10:48Z
offensive_epa_per_play,other_value_delta,-0.00038495,1.0000,32,2026-05-07T17:10:48Z
offensive_epa_per_play,avg_contract_value_per_move,0.00000000,1.0000,32,2026-05-07T17:10:48Z
offensive_epa_per_play,position_value_delta,-0.00084373,1.0000,32,2026-05-07T17:10:48Z
offensive_epa_per_play,schedule_strength_index,0.06069148,1.0000,32,2026-05-07T17:10:48Z
