position,weight
QB,4.0
WR,2.5
TE,1.8
RB,1.6
LT,2.2
RT,2.0
LG,1.8
RG,1.8
C,1.9
EDGE,3.0
DE,2.6
DT,2.3
LB,2.1
CB,2.7
S,2.2
K,0.7
P,0.6
LS,0.4
