move_id,event_date,effective_date,move_type,player_id,from_team_id,to_team_id,transaction_detail,source,nfl_season,season_phase,phase_week,nfl_week,ingested_at
ofs_2022_01_00032,2022-09-08,2022-09-08,free_agency,RobiDo00,,CHI,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00033,2022-09-08,2022-09-08,free_agency,KramDo00,,CHI,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00034,2022-09-08,2022-09-08,free_agency,HickEl00,,CHI,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00035,2022-09-08,2022-09-08,free_agency,CartJa04,,CHI,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00036,2022-09-08,2022-09-08,free_agency,HarrNK00,,CHI,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00037,2022-09-08,2022-09-08,free_agency,GillTr01,,CHI,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00038,2022-09-08,2022-09-08,free_agency,EbneTr00,,CHI,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00039,2022-09-08,2022-09-08,free_agency,AndeTy00,,CHI,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00040,2022-09-08,2022-09-08,free_agency,TaylCa01,,CIN,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00041,2022-09-08,2022-09-08,free_agency,AndeTy00,,CIN,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
