team,win_total,provider,captured_at
ARI,3.0,nflverse_games,2026-05-05T15:34:50Z
ATL,7.0,nflverse_games,2026-05-05T15:34:50Z
BAL,10.0,nflverse_games,2026-05-05T15:34:50Z
BUF,12.0,nflverse_games,2026-05-05T15:34:50Z
CAR,7.0,nflverse_games,2026-05-05T15:34:50Z
CHI,3.0,nflverse_games,2026-05-05T15:34:50Z
CIN,12.0,nflverse_games,2026-05-05T15:34:50Z
CLE,7.0,nflverse_games,2026-05-05T15:34:50Z
DAL,11.0,nflverse_games,2026-05-05T15:34:50Z
DEN,5.0,nflverse_games,2026-05-05T15:34:50Z
DET,9.0,nflverse_games,2026-05-05T15:34:50Z
GB,7.0,nflverse_games,2026-05-05T15:34:50Z
HOU,3.5,nflverse_games,2026-05-05T15:34:50Z
IND,4.5,nflverse_games,2026-05-05T15:34:50Z
JAX,9.0,nflverse_games,2026-05-05T15:34:50Z
KC,13.0,nflverse_games,2026-05-05T15:34:50Z
LV,6.0,nflverse_games,2026-05-05T15:34:50Z
LAC,9.0,nflverse_games,2026-05-05T15:34:50Z
LAR,0.0,nflverse_games,2026-05-05T15:34:50Z
MIA,9.0,nflverse_games,2026-05-05T15:34:50Z
MIN,13.0,nflverse_games,2026-05-05T15:34:50Z
NE,8.0,nflverse_games,2026-05-05T15:34:50Z
NO,6.0,nflverse_games,2026-05-05T15:34:50Z
NYG,9.5,nflverse_games,2026-05-05T15:34:50Z
NYJ,7.0,nflverse_games,2026-05-05T15:34:50Z
PHI,14.0,nflverse_games,2026-05-05T15:34:50Z
PIT,9.0,nflverse_games,2026-05-05T15:34:50Z
SEA,7.0,nflverse_games,2026-05-05T15:34:50Z
SF,11.0,nflverse_games,2026-05-05T15:34:50Z
TB,7.0,nflverse_games,2026-05-05T15:34:50Z
TEN,7.0,nflverse_games,2026-05-05T15:34:50Z
WAS,8.5,nflverse_games,2026-05-05T15:34:50Z
