team,win_total,provider,captured_at
NYG,7.5,DraftKings,2026-03-19T00:00:00Z
BUF,10.5,DraftKings,2026-03-19T00:00:00Z
SEA,8.0,FanDuel,2026-03-19T00:00:00Z
