player,position,team,from_team,contract_aav,contract_total,contract_years,age,height,weight,experience,college,draft_year,draft_round,draft_pick,pfr_slug,source_url,import_method,imported_at
Andrew Billings,DL,ARI,CHI,2400000,2400000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2026,spotrac_fa_scraper,2026-05-18T15:18:54Z
Andrew Wingard,S,ARI,JAX,3000000,3000000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2026,spotrac_fa_scraper,2026-05-18T15:18:54Z
Casey Kreiter,LS,ARI,NYG,1487500,1487500,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2026,spotrac_fa_scraper,2026-05-18T15:18:54Z
Devin Duvernay,WR,ARI,CHI,1850000,1850000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2026,spotrac_fa_scraper,2026-05-18T15:18:54Z
Elijah Wilkinson,G,ARI,ATL,3125000,6250000,2,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2026,spotrac_fa_scraper,2026-05-18T15:18:54Z
Gardner Minshew,QB,ARI,KC,5750000,5750000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2026,spotrac_fa_scraper,2026-05-18T15:18:54Z
Isaac Seumalo,G,ARI,PIT,10500000,31500000,3,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2026,spotrac_fa_scraper,2026-05-18T15:18:54Z
Jack Gibbens,LB,ARI,NE,3750000,7500000,2,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2026,spotrac_fa_scraper,2026-05-18T15:18:54Z
Jonah Williams,ED,ARI,NO,1402500,1402500,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2026,spotrac_fa_scraper,2026-05-18T15:18:54Z
Kendrick Bourne,WR,ARI,SF,5000000,10000000,2,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2026,spotrac_fa_scraper,2026-05-18T15:18:54Z
