team,win_total,provider,captured_at
ARI,4.0,nflverse_games,2026-05-05T15:34:53Z
ATL,7.0,nflverse_games,2026-05-05T15:34:53Z
BAL,12.0,nflverse_games,2026-05-05T15:34:53Z
BUF,11.0,nflverse_games,2026-05-05T15:34:53Z
CAR,2.0,nflverse_games,2026-05-05T15:34:53Z
CHI,7.0,nflverse_games,2026-05-05T15:34:53Z
CIN,8.0,nflverse_games,2026-05-05T15:34:53Z
CLE,11.0,nflverse_games,2026-05-05T15:34:53Z
DAL,11.0,nflverse_games,2026-05-05T15:34:53Z
DEN,8.0,nflverse_games,2026-05-05T15:34:53Z
DET,12.0,nflverse_games,2026-05-05T15:34:53Z
GB,8.0,nflverse_games,2026-05-05T15:34:53Z
HOU,10.0,nflverse_games,2026-05-05T15:34:53Z
IND,9.0,nflverse_games,2026-05-05T15:34:53Z
JAX,9.0,nflverse_games,2026-05-05T15:34:53Z
KC,11.0,nflverse_games,2026-05-05T15:34:53Z
LV,8.0,nflverse_games,2026-05-05T15:34:53Z
LAC,5.0,nflverse_games,2026-05-05T15:34:53Z
LAR,0.0,nflverse_games,2026-05-05T15:34:53Z
MIA,11.0,nflverse_games,2026-05-05T15:34:53Z
MIN,7.0,nflverse_games,2026-05-05T15:34:53Z
NE,4.0,nflverse_games,2026-05-05T15:34:53Z
NO,9.0,nflverse_games,2026-05-05T15:34:53Z
NYG,6.0,nflverse_games,2026-05-05T15:34:53Z
NYJ,7.0,nflverse_games,2026-05-05T15:34:53Z
PHI,10.0,nflverse_games,2026-05-05T15:34:53Z
PIT,9.0,nflverse_games,2026-05-05T15:34:53Z
SEA,9.0,nflverse_games,2026-05-05T15:34:53Z
SF,11.0,nflverse_games,2026-05-05T15:34:53Z
TB,9.0,nflverse_games,2026-05-05T15:34:53Z
TEN,6.0,nflverse_games,2026-05-05T15:34:53Z
WAS,4.0,nflverse_games,2026-05-05T15:34:53Z
