"move_id","event_date","effective_date","move_type","player_id","from_team_id","to_team_id","contract_aav","contract_total","contract_years","transaction_detail","source","nfl_season","season_phase","phase_week","nfl_week","season_anomaly","ingested_at"
"ofs_2020_01_00005","2020-09-10","2020-09-10","trade","HopkDe00","HOU","ARI","27250000","54500000","2","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2020","regular","1","1","covid_season","2026-05-08T15:35:20Z"
"ofs_2020_01_00006","2020-09-10","2020-09-10","trade","GoldMa00","NYG","ARI","4097500","4097500","1","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2020","regular","1","1","covid_season","2026-05-08T15:35:20Z"
"ofs_2020_01_00007","2020-09-10","2020-09-10","trade","LawrRa01","HOU","ARI","994771","3979084","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2020","regular","1","1","covid_season","2026-05-08T15:35:20Z"
"ofs_2020_01_00008","2020-09-10","2020-09-10","trade","BredBe00","BAL","ATL","947350","3789400","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2020","regular","1","1","covid_season","2026-05-08T15:35:20Z"
"ofs_2020_01_00009","2020-09-10","2020-09-10","trade","HarrCh03","MIA","ATL","2710994","10843976","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2020","regular","1","1","covid_season","2026-05-08T15:35:20Z"
"ofs_2020_01_00010","2020-09-10","2020-09-10","trade","HursHa00","BAL","ATL","2759008","11036032","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2020","regular","1","1","covid_season","2026-05-08T15:35:20Z"
"ofs_2020_01_00011","2020-09-10","2020-09-10","trade","CampCa99","JAX","BAL","15000000","60000000","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2020","regular","1","1","covid_season","2026-05-08T15:35:20Z"
"ofs_2020_01_00012","2020-09-10","2020-09-10","trade","ThomDa07","ATL","BAL","903029","3612116","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2020","regular","1","1","covid_season","2026-05-08T15:35:20Z"
"ofs_2020_01_00013","2020-09-10","2020-09-10","trade","StonGe00","MIN","BAL","850539","3402156","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2020","regular","1","1","covid_season","2026-05-08T15:35:20Z"
"ofs_2020_01_00014","2020-09-10","2020-09-10","trade","DobbJK00","ATL","BAL","1432360","5729438","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2020","regular","1","1","covid_season","2026-05-08T15:35:20Z"
"ofs_2020_01_00015","2020-09-10","2020-09-10","trade","ProcJa00","MIN","BAL","865775","3463100","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2020","regular","1","1","covid_season","2026-05-08T15:35:20Z"
"ofs_2020_01_00016","2020-09-10","2020-09-10","trade","MaduJu00","NE","BAL","1213328","4853310","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2020","regular","1","1","covid_season","2026-05-08T15:35:20Z"
"ofs_2020_01_00017","2020-09-10","2020-09-10","trade","HarrMa06","NE","BAL","1084234","4336935","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2020","regular","1","1","covid_season","2026-05-08T15:35:20Z"
"ofs_2020_01_00018","2020-09-10","2020-09-10","trade","NgakYa00","MIN","BAL","17788000","17788000","1","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2020","regular","1","1","covid_season","2026-05-08T15:35:20Z"
"ofs_2020_01_00019","2020-09-10","2020-09-10","trade","DaviZa00","PIT","BAL","","","","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2020","regular","1","1","covid_season","2026-05-08T15:35:20Z"
"ofs_2020_01_00020","2020-09-10","2020-09-10","trade","SmitAn04","CAR","BUF","1070000","1070000","1","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2020","regular","1","1","covid_season","2026-05-08T15:35:20Z"
"ofs_2020_01_00021","2020-09-10","2020-09-10","trade","JackDa02","MIN","BUF","844076","3376304","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2020","regular","1","1","covid_season","2026-05-08T15:35:20Z"
"ofs_2020_01_00022","2020-09-10","2020-09-10","trade","DiggSt00","MIN","BUF","14400000","72000000","5","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2020","regular","1","1","covid_season","2026-05-08T15:35:20Z"
"ofs_2020_01_00023","2020-09-10","2020-09-10","trade","RobiAl03","WAS","CAR","911586","3646344","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2020","regular","1","1","covid_season","2026-05-08T15:35:20Z"
"ofs_2020_01_00024","2020-09-10","2020-09-10","trade","ChinJe00","SEA","CAR","1310369","5241474","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2020","regular","1","1","covid_season","2026-05-08T15:35:20Z"
"ofs_2020_01_00025","2020-09-10","2020-09-10","trade","OkunRu20","LAC","CAR","13250000","53000000","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2020","regular","1","1","covid_season","2026-05-08T15:35:20Z"
"ofs_2020_01_00026","2020-09-10","2020-09-10","trade","MoonDa00","PHI","CHI","894262","3577048","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2020","regular","1","1","covid_season","2026-05-08T15:35:20Z"
"ofs_2020_01_00027","2020-09-10","2020-09-10","trade","SimmLa00","PHI","CHI","848524","3394096","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2020","regular","1","1","covid_season","2026-05-08T15:35:20Z"
"ofs_2020_01_00028","2020-09-10","2020-09-10","trade","FoleNi00","JAX","CHI","22000000","88000000","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2020","regular","1","1","covid_season","2026-05-08T15:35:20Z"
"ofs_2020_01_00029","2020-09-10","2020-09-10","trade","ForsSt00","MIA","CHI","","","","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2020","regular","1","1","covid_season","2026-05-08T15:35:20Z"
"ofs_2020_01_00030","2020-09-10","2020-09-10","trade","GipsTr00","MIN","CHI","905168","3620672","4","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2020","regular","1","1","covid_season","2026-05-08T15:35:20Z"
"ofs_2020_01_00031","2020-09-10","2020-09-10","trade","FinnB.01","SEA","CIN","4000000","8000000","2","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2020","regular","1","1","covid_season","2026-05-08T15:35:20Z"
"ofs_2020_01_00032","2020-09-10","2020-09-10","trade","CoviCh00","DEN","CIN","1500000","1500000","1","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2020","regular","1","1","covid_season","2026-05-08T15:35:20Z"
"ofs_2020_01_00033","2020-09-10","2020-09-10","trade","HubeWy00","SEA","CIN","","","","inferred_from_players_metadata","https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv","2020","regular","1","1","covid_season","2026-05-08T15:35:20Z"
