team_id,nfl_season,nfl_week,outcome_name,observed_prediction,counterfactual_prediction,mis_value,mis_z,interval_50_low,interval_50_high,interval_90_low,interval_90_high,low_confidence_flag,model_version,data_version,generated_at
ARI,2025,1,offensive_epa_per_play,-0.043150,-0.043804,0.000654,-0.859943,-0.002743,0.004052,-0.007639,0.008947,false,hierarchical-eb-v0.3.0-offseason-multiseason,features-0.4.0-offseason,2026-05-05T19:31:17Z
ARI,2025,1,point_diff_per_game,-6.470615,-6.568769,0.098153,-0.859943,-0.411522,0.607828,-1.145786,1.342093,false,hierarchical-eb-v0.3.0-offseason-multiseason,features-0.4.0-offseason,2026-05-05T19:31:17Z
ARI,2025,1,win_pct,0.215014,0.211159,0.003855,-0.859744,-0.016132,0.023842,-0.044926,0.052637,false,hierarchical-eb-v0.3.0-offseason-multiseason,features-0.4.0-offseason,2026-05-05T19:31:17Z
ATL,2025,1,offensive_epa_per_play,-0.008553,-0.012903,0.004350,-0.187818,0.000952,0.007748,-0.003943,0.012643,false,hierarchical-eb-v0.3.0-offseason-multiseason,features-0.4.0-offseason,2026-05-05T19:31:17Z
ATL,2025,1,point_diff_per_game,-1.280993,-1.933480,0.652486,-0.187818,0.142811,1.162161,-0.591453,1.896426,false,hierarchical-eb-v0.3.0-offseason-multiseason,features-0.4.0-offseason,2026-05-05T19:31:17Z
ATL,2025,1,win_pct,0.418532,0.392934,0.025598,-0.187410,0.005611,0.045585,-0.023183,0.074379,false,hierarchical-eb-v0.3.0-offseason-multiseason,features-0.4.0-offseason,2026-05-05T19:31:17Z
BAL,2025,1,offensive_epa_per_play,0.003286,-0.005176,0.008462,0.559979,0.005064,0.011859,0.000169,0.016754,false,hierarchical-eb-v0.3.0-offseason-multiseason,features-0.4.0-offseason,2026-05-05T19:31:17Z
BAL,2025,1,point_diff_per_game,0.494802,-0.774426,1.269228,0.559979,0.759553,1.778903,0.025289,2.513168,false,hierarchical-eb-v0.3.0-offseason-multiseason,features-0.4.0-offseason,2026-05-05T19:31:17Z
BAL,2025,1,win_pct,0.488149,0.438386,0.049763,0.559820,0.029776,0.069750,0.000981,0.098544,false,hierarchical-eb-v0.3.0-offseason-multiseason,features-0.4.0-offseason,2026-05-05T19:31:17Z
BUF,2025,1,offensive_epa_per_play,0.030212,0.025733,0.004480,-0.164206,0.001082,0.007878,-0.003813,0.012773,false,hierarchical-eb-v0.3.0-offseason-multiseason,features-0.4.0-offseason,2026-05-05T19:31:17Z
BUF,2025,1,point_diff_per_game,4.533746,3.861786,0.671960,-0.164206,0.162285,1.181635,-0.571979,1.915900,false,hierarchical-eb-v0.3.0-offseason-multiseason,features-0.4.0-offseason,2026-05-05T19:31:17Z
BUF,2025,1,win_pct,0.646542,0.620197,0.026345,-0.164293,0.006358,0.046332,-0.022436,0.075127,false,hierarchical-eb-v0.3.0-offseason-multiseason,features-0.4.0-offseason,2026-05-05T19:31:17Z
CAR,2025,1,offensive_epa_per_play,-0.007043,-0.012903,0.005859,0.086662,0.002461,0.009257,-0.002434,0.014152,false,hierarchical-eb-v0.3.0-offseason-multiseason,features-0.4.0-offseason,2026-05-05T19:31:17Z
CAR,2025,1,point_diff_per_game,-1.054617,-1.933480,0.878862,0.086662,0.369187,1.388537,-0.365077,2.122802,false,hierarchical-eb-v0.3.0-offseason-multiseason,features-0.4.0-offseason,2026-05-05T19:31:17Z
CAR,2025,1,win_pct,0.427392,0.392934,0.034458,0.086576,0.014471,0.054445,-0.014323,0.083240,false,hierarchical-eb-v0.3.0-offseason-multiseason,features-0.4.0-offseason,2026-05-05T19:31:17Z
CHI,2025,1,offensive_epa_per_play,0.028102,0.018006,0.010096,0.857326,0.006699,0.013494,0.001803,0.018389,false,hierarchical-eb-v0.3.0-offseason-multiseason,features-0.4.0-offseason,2026-05-05T19:31:17Z
CHI,2025,1,point_diff_per_game,4.217197,2.702733,1.514464,0.857326,1.004789,2.024139,0.270524,2.758404,false,hierarchical-eb-v0.3.0-offseason-multiseason,features-0.4.0-offseason,2026-05-05T19:31:17Z
CHI,2025,1,win_pct,0.634139,0.574744,0.059394,0.857656,0.039407,0.079381,0.010613,0.108176,false,hierarchical-eb-v0.3.0-offseason-multiseason,features-0.4.0-offseason,2026-05-05T19:31:17Z
CIN,2025,1,offensive_epa_per_play,-0.020630,-0.020630,0.000000,-0.978954,-0.003398,0.003398,-0.008293,0.008293,false,hierarchical-eb-v0.3.0-offseason-multiseason,features-0.4.0-offseason,2026-05-05T19:31:17Z
